date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL,O3_OBREGON,PM10_OBREGON,O3_AZCAPOTZALCO,PM10_AZCAPOTZALCO,O3_BENITOJUAREZ,PM10_BENITOJUAREZ,O3_COYOACAN,PM10_COYOACAN,O3_CUAJIMALPA,PM10_CUAJIMALPA,O3_CUAUHTEMOC,PM10_CUAUHTEMOC,O3_IZTACALCO,PM10_IZTACALCO,O3_IZTAPALAPA,PM10_IZTAPALAPA,O3_MIGUELHIDALGO,PM10_MIGUELHIDALGO,O3_MILPAALTA,PM10_MILPAALTA,O3_TLALPAN,PM10_TLALPAN,O3_VENUSTIANO,PM10_VENUSTIANO,O3_XOCHIMILCO,PM10_XOCHIMILCO,O3_TOTAL_avg,PM10_TOTAL_avg
26/01/2012,4.533442136,,14.4941661,0.07381419,1.197845794,,2.465163136,0.024271635,0.501947557,,8.825412682,,6.698286012,,14.34617316,,3.063678559,,2.460165815,,11.25016807,0.081049394,5.800169655,,9.402836891,,6.793638791,,9.595963142,0.138264067,3.125503386,,6.043513522,0.069648414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2012,3.466749869,,10.99557428,0.07381419,1.437414953,,2.793851554,0.024271635,,,9.576511634,0.027732038,6.526535088,0.012682758,5.892178261,,3.446638379,,2.870193451,,10.97577372,0.081049394,9.425275689,,4.424864419,,6.793638791,,11.46834619,0.034566017,6.49143011,,5.651077579,0.067762627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2012,1.333365334,,9.496177788,0.07381419,1.916553271,,2.629507345,0.072814904,0.501947557,,9.764286371,0.027732038,6.870036935,0.038048274,11.01581153,,3.610764016,0.008079785,1.640110543,,7.683041606,,10.1502969,,4.977972472,,7.82745339,0.021811686,7.255484327,0.034566017,,,5.180154447,0.063362456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2012,1.733374934,,11.99517194,0.036907095,0.718707476,,0.164344209,,,,11.45425901,,8.072293399,0.025365516,9.222539887,,3.610764016,,1.230082908,,6.036675548,0.12157409,5.075148448,,1.382770131,,5.907511992,,6.787388564,,,,4.79893096,0.058082251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2012,2.533394135,,12.49497077,0.07381419,1.197845794,,0.986065255,,0.501947557,,4.318818972,,5.496029548,0.025365516,10.75962987,0.037834906,2.626010193,0.008079785,1.640110543,,9.329407665,,4.350127241,,7.743512734,0.040843656,6.941326591,0.021811686,8.659771616,0.034566017,5.52973676,,4.899843059,0.0538078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2012,2.000048001,,8.996378957,0.07381419,1.197845794,,2.300818927,0.048543269,,,9.764286371,,6.268908703,0.050731032,9.222539887,0.037834906,2.243050373,,0.410027636,,6.585464234,0.040524697,4.350127241,,5.80763455,0.040843656,4.430633994,0.021811686,7.489532208,0.034566017,6.972276785,0.071015187,4.653169038,0.054939272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2012,0.8000192,,10.24587603,0.036907095,0.958276635,,1.314753673,0.048543269,,,7.323214779,,5.667780471,0.025365516,7.94163157,,2.680718739,0.008079785,0.410027636,,13.71971715,0.040524697,7.250212069,,6.360742603,0.081687311,3.101443796,,7.021436445,0.10369805,2.644656712,,4.37285765,0.052173451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2012,1.200028801,,11.74527253,0.07381419,0.958276635,,3.944261018,0.097086539,1.003895113,,8.449863206,,5.58190501,0.025365516,7.685449906,,2.024216191,0.008079785,1.640110543,,7.95743595,0.040524697,7.975233276,,5.254526498,,4.282946194,0.043623372,6.787388564,0.069132033,4.087196736,,4.496194661,0.049030472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2012,1.066692267,,8.996378957,0.07381419,0.718707476,,1.150409464,0.048543269,,,7.886538992,,4.809025855,,4.098906617,,2.899552922,,0.410027636,,10.42698504,,7.975233276,,4.701418446,,5.021385193,0.087246745,8.425723735,,2.885080049,0.035507594,4.14860854,0.050413383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2012,0.8000192,,11.2454737,0.036907095,1.676984112,,1.150409464,,0.501947557,,9.952061109,,2.833890236,,8.71017656,,2.954261467,0.016159569,,,4.115915146,0.040524697,5.800169655,,2.488986236,,2.806068196,,6.319292801,0.069132033,,,3.565560853,0.046516089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
