date,O3_AO,PM10_AO,O3_AZ,PM10_AZ,O3_BJ,PM10_BJ,O3_CY,PM10_CY,O3_CJ,PM10_CJ,O3_CH,PM10_CH,O3_IC,PM10_IC,O3_IZ,PM10_IZ,O3_MH,PM10_MH,O3_MA,PM10_MA,O3_TL,PM10_TL,O3_VC,PM10_VC,O3_XO,PM10_XO
13/03/2014,34.36363636,55.20833333,30.375,55.66666667,,,30.95833333,5e-324,38.29166667,44.95833333,,51.25,35.41666667,44.08333333,37.83333333,52.875,,,,,40.875,45.08333333,30.70833333,58.70833333,42.375,49.25
14/03/2014,37.29166667,50.34782609,33.04166667,62.5,,,29.89583333,0,48.125,38.14583333,,48.66666667,37.5,41.75,40.91304348,55.56521739,,,,,43.64583333,41.95833333,33.5625,56.54166667,42.33333333,49.41666667
15/03/2014,37.20833333,49.58333333,34.16666667,56.33333333,,,27.52083333,0,39.75,38.95833333,,55.29166667,33,48.13043478,36.58333333,61.20833333,,,,,40.6875,51.41666667,32.1875,64.95833333,38.91666667,58.83333333
16/03/2014,24.2173913,23.92857143,20.125,28.17391304,,,19.77083333,0,26.35416667,31.84782609,,32.31818182,18.625,34.375,23,37.70833333,,,,,25.52083333,34.2173913,16.5,42.29166667,34.125,38.13043478
17/03/2014,20.625,40.42857143,22.08333333,45.20833333,,,21.3125,0,21.02083333,35.5,,39.70833333,21.625,37.66666667,28.25,38.25,,,,,25.77083333,40.58333333,24.02083333,47.65217391,31.5,41.125
18/03/2014,18.04347826,36.19047619,19.54166667,39.16666667,,,16.54166667,0,19.5625,34.75,,37.26086957,14.6,50.20833333,19.15,41.15,,,,,24.41666667,40.91666667,15.8125,52,28.29166667,50.04347826
19/03/2014,37.84210526,45.7826087,25.25,55.625,,,23.47916667,0,33.25,40.125,,47.79166667,29.95833333,55.45833333,29.17391304,45.22727273,,,,,32.375,44.16666667,29.14583333,56.58333333,30.125,54.08333333
20/03/2014,47.75,72.95833333,43.58333333,71.83333333,,,45.79166667,5e-324,55.6875,67.66666667,,66.125,46.08333333,68.20833333,44.86956522,66.82608696,,,,,47.45833333,63.125,43.4375,76.41666667,38.2,72.06666667
21/03/2014,34.70833333,59.83333333,27.7826087,63.875,,,34.04166667,5e-324,32.60416667,51.75,31.08333333,54.45833333,33.91666667,49.375,37.58333333,50.79166667,,,,,42.8125,50.7826087,32,61.875,39.52380952,59.16666667
22/03/2014,46.25,46.16666667,41.25,68.5,,,38.83333333,0,45.875,42.25,38.66666667,59.33333333,38.45833333,54.70833333,39.26086957,64.13043478,,,,,47.08333333,49.58333333,37.35416667,77.70833333,40.08333333,56.95833333
